小区名称,小区参考均价,90天成交数,当前出租数,所在地区,详细地址,建成年份
二十三冶家属小区,"('7069', '元/m')",90天成交0套,1套正在出租,雨花,喜盈门,1998年建成
红旗区一片小区,"('8558', '元/m')",90天成交0套,12套正在出租,雨花,东塘,1983年建成
瑞都华庭,"('9702', '元/m')",90天成交2套,34套正在出租,雨花,韶山南路,2010年建成
香颂国际,"('7647', '元/m')",90天成交0套,72套正在出租,雨花,韶山南路,2009年建成
马家冲小区,"('9882', '元/m')",90天成交0套,6套正在出租,雨花,侯家塘,1985年建成
宏泽佳园,"('17475', '元/m')",90天成交0套,2套正在出租,雨花,东塘,2009年建成
丽星景园,"('9601', '元/m')",90天成交0套,6套正在出租,雨花,赤岗冲,2006年建成
星雨心苑,"('9380', '元/m')",90天成交1套,3套正在出租,雨花,武广新城,2009年建成
恒盛世家,"('10168', '元/m')",90天成交2套,48套正在出租,雨花,铁道学院,2008年建成
鑫天花园,"('6880', '元/m')",90天成交0套,7套正在出租,雨花,雨花亭,2000年建成
狮子山一片小区,"('6572', '元/m')",90天成交1套,13套正在出租,雨花,左家塘,1986年建成
香巴圣地,"('7283', '元/m')",90天成交1套,2套正在出租,雨花,左家塘,1995年建成
绿荫家园,"('6611', '元/m')",90天成交3套,2套正在出租,雨花,井湾子,2003年建成
鸿基橄榄君庭,"('11205', '元/m')",90天成交2套,40套正在出租,雨花,尚东,2011年建成
桔园小区,"('6684', '元/m')",90天成交4套,64套正在出租,雨花,雨花亭,1988年建成
天天向上,"('10543', '元/m')",90天成交2套,15套正在出租,雨花,铁道学院,2013年建成
白沙苑,"('7214', '元/m')",90天成交2套,18套正在出租,雨花,雨花亭,2000年建成
建安小区,"('5192', '元/m')",90天成交1套,1套正在出租,雨花,赤岗冲,1990年建成
海华嘉园,"('9156', '元/m')",90天成交0套,10套正在出租,雨花,东塘,2002年建成
都市金领,"('12223', '元/m')",90天成交0套,5套正在出租,雨花,雨花亭,2007年建成
建丰公寓,"('5642', '元/m')",90天成交2套,3套正在出租,雨花,雨花亭,1997年建成
茶园坡社区,"('6684', '元/m')",90天成交1套,22套正在出租,雨花,雨花亭,1990年建成
官塘公寓,"('8546', '元/m')",90天成交0套,0套正在出租,雨花,赤岗冲,2006年建成
湖南中医学院梨子山宿舍楼,"('7401', '元/m')",90天成交1套,7套正在出租,雨花,雨花亭,1986年建成
泰时花园,"('6802', '元/m')",90天成交0套,11套正在出租,雨花,赤岗冲,1995年建成
国立小区,"('9723', '元/m')",90天成交0套,12套正在出租,雨花,窑岭,1982年建成
木莲花苑,"('8282', '元/m')",90天成交1套,6套正在出租,雨花,武广新城,2008年建成
福乐名园,"('8734', '元/m')",90天成交0套,35套正在出租,雨花,左家塘,2001年建成
新华园,"('7867', '元/m')",90天成交0套,12套正在出租,雨花,赤岗冲,1993年建成
凯姆国际,"('10016', '元/m')",90天成交0套,22套正在出租,雨花,铁道学院,2011年建成
雨花区城南东路131号,"('5845', '元/m')",90天成交0套,0套正在出租,雨花,左家塘,1990年建成
床单厂宿舍,"('5850', '元/m')",90天成交0套,2套正在出租,雨花,赤岗冲,1982年建成
泡沫塑料厂宿舍,"('5913', '元/m')",90天成交0套,1套正在出租,雨花,雨花亭,1999年建成
远大小区,"('5913', '元/m')",90天成交0套,3套正在出租,雨花,韶山南路,1998年建成
金昌公寓,"('5946', '元/m')",90天成交0套,2套正在出租,雨花,赤岗冲,1995年建成
中铁五局七公司,"('5978', '元/m')",90天成交0套,0套正在出租,雨花,德思勤,未知年建成
涟源百货城,"('5981', '元/m')",90天成交0套,0套正在出租,雨花,汽车南站,2001年建成
蔬菜公司,"('5982', '元/m')",90天成交0套,1套正在出租,雨花,左家塘,未知年建成
华隆公寓,"('5983', '元/m')",90天成交2套,9套正在出租,雨花,高桥,2001年建成
湖南省服装公司,"('5996', '元/m')",90天成交0套,0套正在出租,雨花,雨花亭,未知年建成
建设医院宿舍,"('6002', '元/m')",90天成交0套,0套正在出租,雨花,东塘,2012年建成
桔园小区卫技新村,"('6003', '元/m')",90天成交0套,2套正在出租,雨花,雨花亭,1995年建成
星城名典,"('6006', '元/m')",90天成交0套,3套正在出租,雨花,左家塘,1999年建成
桔园宿舍,"('6008', '元/m')",90天成交0套,0套正在出租,雨花,雨花亭,1990年建成
二十三冶宿舍,"('6008', '元/m')",90天成交0套,1套正在出租,雨花,雨花亭,未知年建成
物贸赤岗宿舍,"('6026', '元/m')",90天成交0套,2套正在出租,雨花,左家塘,1996年建成
富通新城,"('6027', '元/m')",90天成交0套,1套正在出租,雨花,高桥,未知年建成
井湾路362号,"('6046', '元/m')",90天成交0套,0套正在出租,雨花,井湾子,2005年建成
高桥艺美城,"('6051', '元/m')",90天成交0套,0套正在出租,雨花,高桥,2000年建成
送变电建设公司宿舍,"('6054', '元/m')",90天成交0套,3套正在出租,雨花,雨花亭,1990年建成
卫技新村二村,"('6075', '元/m')",90天成交0套,2套正在出租,雨花,韶山南路,2001年建成
高桥皮具城,"('6075', '元/m')",90天成交0套,4套正在出租,雨花,高桥,2000年建成
康乐花园小区,"('6075', '元/m')",90天成交0套,2套正在出租,雨花,树木岭,1996年建成
白沙家园嘉城,"('6100', '元/m')",90天成交0套,9套正在出租,雨花,雨花亭,2000年建成
左家塘二建,"('6111', '元/m')",90天成交0套,0套正在出租,雨花,窑岭,1995年建成
香樟路电信宿舍,"('6168', '元/m')",90天成交1套,9套正在出租,雨花,韶山南路,1995年建成
杨家山立交桥西南,"('6192', '元/m')",90天成交0套,1套正在出租,雨花,左家塘,1986年建成
鼓风机厂,"('6205', '元/m')",90天成交0套,1套正在出租,雨花,树木岭,1986年建成
