排名,学校名称,地区,类型,总分,办学层次
1,清华大学 ,北京,999.4,37.6,综合
2,北京大学 ,北京,912.5,34.4,综合
3,浙江大学 ,浙江,825.3,34.1,综合
4,上海交通大学 ,上海,783.3,35.5,综合
5,复旦大学 ,上海,697.8,35.9,综合
6,南京大学 ,江苏,683.4,37.7,综合
7,中国科学技术大学 ,安徽,609.9,40.0,理工
8,华中科技大学 ,湖北,609.3,32.3,综合
9,武汉大学 ,湖北,607.1,32.8,综合
10,西安交通大学 ,陕西,570.2,34.2,综合
11,四川大学 ,四川,561.7,32.0,综合
12,中山大学 ,广东,559.4,31.4,综合
13,哈尔滨工业大学 ,黑龙江,549.8,32.7,理工
14,同济大学 ,上海,548.4,32.8,理工
15,北京航空航天大学 ,北京,546.7,33.2,理工
16,东南大学 ,江苏,538.5,34.9,综合
17,北京师范大学 ,北京,534.7,34.6,师范
18,北京理工大学 ,北京,530.9,33.1,理工
19,中国人民大学 ,北京,514.7,34.2,综合
20,南开大学 ,天津,497.4,31.3,综合
21,天津大学 ,天津,490.8,33.0,理工
22,山东大学 ,山东,484.3,29.2,综合
23,中南大学 ,湖南,475.8,30.7,综合
24,西北工业大学 ,陕西,467.9,32.7,理工
25,华南理工大学 ,广东,466.7,30.8,理工
26,厦门大学 ,福建,458.8,33.7,综合
27,吉林大学 ,吉林,450.3,31.2,综合
28,华东师范大学 ,上海,440.7,32.6,师范
29,中国农业大学 ,北京,433.7,31.9,农业
30,电子科技大学 ,四川,432.0,32.3,理工
